"algoritmo";"rmsd"
"LS1";2.18463627007601
"LS1";3.08384408988651
"LS1";1.95245224022485
"LS1";4.65076169037295
"LS1";3.24575362671505
"LS1";1.969280093629
"LS1";3.42104624819562
"LS1";3.69954042269343
"LS1";3.51911730033538
"LS1";2.54101889025644
"LS1";4.55807709698044
"LS1";3.31272599241669
"LS1";2.1904229555986
"LS1";0.421683125232975
"LS1";4.12867331913885
"LS1";2.83012369399309
"LS1";2.86202880796017
"LS1";3.92765819386068
"LS1";3.79155552655888
"LS1";3.53923046655143
"LS1";3.90006488248512
"LS1";3.74817129381148
"LS1";2.96276713153536
"LS1";0.671819617591656
"LS1";3.56800658016313
"LS1";2.81769709912281
"LS1";2.70706698755708
"LS1";1.24746485387181
"LS1";2.34925343882943
"LS1";3.34391513182167
"LS1";4.38813430219724
"LS2";3.43926802720386
"LS2";3.91991817932818
"LS2";3.48727106022875
"LS2";2.19048163430797
"LS2";3.13330532796631
"LS2";3.15359584536386
"LS2";3.48187287122304
"LS2";4.61802486454421
"LS2";4.28791223348839
"LS2";3.37876687567148
"LS2";3.29170555346622
"LS2";4.22302410789664
"LS2";4.08552993470018
"LS2";2.86501941934147
"LS2";2.84665474617712
"LS2";3.89729032289409
"LS2";4.29316226602511
"LS2";3.42990071209278
"LS2";4.40348557192513
"LS2";3.93014376275973
"LS2";2.94021413461424
"LS2";3.87429729759594
"LS2";2.43322416584082
"LS2";4.94436322766702
"LS2";5.48079190053574
"LS2";3.18012295306282
"LS2";2.5167480662098
"LS2";4.09832523489357
"LS2";3.40764648819679
"LS2";5.89358540529468
"LS2";3.50154479732149
